04/20/2023 17:33:09 - early_stopping - INFO - Validation loss improved from 3159.59106 -> 3115.79639, updating checkpoint.
04/20/2023 17:33:10 - early_stopping - INFO - Validation loss improved from 3115.79639 -> 3075.21899, updating checkpoint.
04/20/2023 17:33:11 - early_stopping - INFO - Validation loss improved from 3075.21899 -> 3037.71533, updating checkpoint.
04/20/2023 17:33:12 - early_stopping - INFO - Validation loss improved from 3037.71533 -> 3003.00024, updating checkpoint.
04/20/2023 17:33:13 - early_stopping - INFO - Validation loss improved from 3003.00024 -> 2971.44458, updating checkpoint.
04/20/2023 17:33:14 - early_stopping - INFO - Validation loss improved from 2971.44458 -> 2942.08594, updating checkpoint.
04/20/2023 17:33:14 - early_stopping - INFO - Validation loss improved from 2942.08594 -> 2915.66846, updating checkpoint.
04/20/2023 17:33:15 - early_stopping - INFO - Validation loss improved from 2915.66846 -> 2891.19116, updating checkpoint.
04/20/2023 17:33:15 - early_stopping - INFO - Validation loss improved from 2891.19116 -> 2868.27368, updating checkpoint.
04/20/2023 17:33:15 - early_stopping - INFO - Validation loss improved from 2868.27368 -> 2848.04419, updating checkpoint.
04/20/2023 17:33:16 - early_stopping - INFO - Validation loss improved from 2848.04419 -> 2829.10522, updating checkpoint.
04/20/2023 17:33:16 - early_stopping - INFO - Validation loss improved from 2829.10522 -> 2811.94995, updating checkpoint.
04/20/2023 17:33:16 - early_stopping - INFO - Validation loss improved from 2811.94995 -> 2796.09888, updating checkpoint.
04/20/2023 17:33:16 - early_stopping - INFO - Validation loss improved from 2796.09888 -> 2781.62939, updating checkpoint.
04/20/2023 17:33:16 - early_stopping - INFO - Validation loss improved from 2781.62939 -> 2768.56274, updating checkpoint.
04/20/2023 17:33:16 - early_stopping - INFO - Validation loss improved from 2768.56274 -> 2756.74854, updating checkpoint.
04/20/2023 17:33:17 - early_stopping - INFO - Validation loss improved from 2756.74854 -> 2745.70874, updating checkpoint.
04/20/2023 17:33:17 - early_stopping - INFO - Validation loss improved from 2745.70874 -> 2735.75098, updating checkpoint.
04/20/2023 17:33:17 - early_stopping - INFO - Validation loss improved from 2735.75098 -> 2726.67383, updating checkpoint.
04/20/2023 17:33:17 - early_stopping - INFO - Validation loss improved from 2726.67383 -> 2718.49976, updating checkpoint.
04/20/2023 17:33:17 - early_stopping - INFO - Validation loss improved from 2718.49976 -> 2711.12939, updating checkpoint.
04/20/2023 17:33:17 - early_stopping - INFO - Validation loss improved from 2711.12939 -> 2704.43774, updating checkpoint.
04/20/2023 17:33:18 - early_stopping - INFO - Validation loss improved from 2704.43774 -> 2698.16577, updating checkpoint.
04/20/2023 17:33:18 - early_stopping - INFO - Validation loss improved from 2698.16577 -> 2692.54346, updating checkpoint.
04/20/2023 17:33:18 - early_stopping - INFO - Validation loss improved from 2692.54346 -> 2687.36938, updating checkpoint.
04/20/2023 17:33:18 - early_stopping - INFO - Validation loss improved from 2687.36938 -> 2682.77393, updating checkpoint.
04/20/2023 17:33:19 - early_stopping - INFO - Validation loss improved from 2682.77393 -> 2678.52954, updating checkpoint.
04/20/2023 17:33:19 - early_stopping - INFO - Validation loss improved from 2678.52954 -> 2674.76636, updating checkpoint.
04/20/2023 17:33:19 - early_stopping - INFO - Validation loss improved from 2674.76636 -> 2671.24390, updating checkpoint.
04/20/2023 17:33:19 - early_stopping - INFO - Validation loss improved from 2671.24390 -> 2668.10059, updating checkpoint.
04/20/2023 17:33:19 - early_stopping - INFO - Validation loss improved from 2668.10059 -> 2665.24634, updating checkpoint.
04/20/2023 17:33:19 - early_stopping - INFO - Validation loss improved from 2665.24634 -> 2662.69019, updating checkpoint.
04/20/2023 17:33:20 - early_stopping - INFO - Validation loss improved from 2662.69019 -> 2660.32104, updating checkpoint.
04/20/2023 17:33:20 - early_stopping - INFO - Validation loss improved from 2660.32104 -> 2658.28589, updating checkpoint.
04/20/2023 17:33:20 - early_stopping - INFO - Validation loss improved from 2658.28589 -> 2656.38208, updating checkpoint.
04/20/2023 17:33:20 - early_stopping - INFO - Validation loss improved from 2656.38208 -> 2654.53174, updating checkpoint.
04/20/2023 17:33:20 - early_stopping - INFO - Validation loss improved from 2654.53174 -> 2653.01758, updating checkpoint.
04/20/2023 17:33:20 - early_stopping - INFO - Validation loss improved from 2653.01758 -> 2651.54883, updating checkpoint.
04/20/2023 17:33:21 - early_stopping - INFO - Validation loss improved from 2651.54883 -> 2650.26758, updating checkpoint.
04/20/2023 17:33:21 - early_stopping - INFO - Validation loss improved from 2650.26758 -> 2649.04688, updating checkpoint.
04/20/2023 17:33:21 - early_stopping - INFO - Validation loss improved from 2649.04688 -> 2648.01440, updating checkpoint.
04/20/2023 17:33:21 - early_stopping - INFO - Validation loss improved from 2648.01440 -> 2647.00098, updating checkpoint.
04/20/2023 17:33:21 - early_stopping - INFO - Validation loss improved from 2647.00098 -> 2646.08667, updating checkpoint.
04/20/2023 17:33:22 - early_stopping - INFO - Validation loss improved from 2646.08667 -> 2645.21289, updating checkpoint.
04/20/2023 17:33:22 - early_stopping - INFO - Validation loss improved from 2645.21289 -> 2644.45288, updating checkpoint.
04/20/2023 17:33:22 - early_stopping - INFO - Validation loss improved from 2644.45288 -> 2643.72070, updating checkpoint.
04/20/2023 17:33:22 - early_stopping - INFO - Validation loss improved from 2643.72070 -> 2643.11353, updating checkpoint.
04/20/2023 17:33:22 - early_stopping - INFO - Validation loss improved from 2643.11353 -> 2642.45679, updating checkpoint.
04/20/2023 17:33:23 - early_stopping - INFO - Validation loss improved from 2642.45679 -> 2641.93042, updating checkpoint.
04/20/2023 17:33:23 - early_stopping - INFO - Validation loss improved from 2641.93042 -> 2641.43066, updating checkpoint.
04/20/2023 17:33:23 - early_stopping - INFO - Validation loss improved from 2641.43066 -> 2640.90771, updating checkpoint.
04/20/2023 17:33:23 - early_stopping - INFO - Validation loss improved from 2640.90771 -> 2640.47681, updating checkpoint.
04/20/2023 17:33:23 - early_stopping - INFO - Validation loss improved from 2640.47681 -> 2640.04907, updating checkpoint.
04/20/2023 17:33:23 - early_stopping - INFO - Validation loss improved from 2640.04907 -> 2639.64990, updating checkpoint.
04/20/2023 17:33:24 - early_stopping - INFO - Validation loss improved from 2639.64990 -> 2639.22778, updating checkpoint.
04/20/2023 17:33:24 - early_stopping - INFO - Validation loss improved from 2639.22778 -> 2638.84619, updating checkpoint.
04/20/2023 17:33:24 - early_stopping - INFO - Validation loss improved from 2638.84619 -> 2638.50317, updating checkpoint.
04/20/2023 17:33:24 - early_stopping - INFO - Validation loss improved from 2638.50317 -> 2638.17700, updating checkpoint.
04/20/2023 17:33:24 - early_stopping - INFO - Validation loss improved from 2638.17700 -> 2637.85669, updating checkpoint.
04/20/2023 17:33:25 - early_stopping - INFO - Validation loss improved from 2637.85669 -> 2637.57397, updating checkpoint.
04/20/2023 17:33:25 - early_stopping - INFO - Validation loss improved from 2637.57397 -> 2637.26758, updating checkpoint.
04/20/2023 17:33:25 - early_stopping - INFO - Validation loss improved from 2637.26758 -> 2636.96582, updating checkpoint.
04/20/2023 17:33:26 - early_stopping - INFO - Validation loss improved from 2636.96582 -> 2636.69507, updating checkpoint.
04/20/2023 17:33:26 - early_stopping - INFO - Validation loss improved from 2636.69507 -> 2636.41870, updating checkpoint.
04/20/2023 17:33:26 - early_stopping - INFO - Validation loss improved from 2636.41870 -> 2636.14258, updating checkpoint.
04/20/2023 17:33:26 - early_stopping - INFO - Validation loss improved from 2636.14258 -> 2635.87598, updating checkpoint.
04/20/2023 17:33:27 - early_stopping - INFO - Validation loss improved from 2635.87598 -> 2635.60645, updating checkpoint.
04/20/2023 17:33:27 - early_stopping - INFO - Validation loss improved from 2635.60645 -> 2635.34180, updating checkpoint.
04/20/2023 17:33:27 - early_stopping - INFO - Validation loss improved from 2635.34180 -> 2635.09399, updating checkpoint.
04/20/2023 17:33:27 - early_stopping - INFO - Validation loss improved from 2635.09399 -> 2634.84644, updating checkpoint.
04/20/2023 17:33:28 - early_stopping - INFO - Validation loss improved from 2634.84644 -> 2634.62476, updating checkpoint.
04/20/2023 17:33:28 - early_stopping - INFO - Validation loss improved from 2634.62476 -> 2634.37939, updating checkpoint.
04/20/2023 17:33:28 - early_stopping - INFO - Validation loss improved from 2634.37939 -> 2634.13330, updating checkpoint.
04/20/2023 17:33:28 - early_stopping - INFO - Validation loss improved from 2634.13330 -> 2633.88599, updating checkpoint.
04/20/2023 17:33:29 - early_stopping - INFO - Validation loss improved from 2633.88599 -> 2633.64600, updating checkpoint.
04/20/2023 17:33:29 - early_stopping - INFO - Validation loss improved from 2633.64600 -> 2633.40649, updating checkpoint.
04/20/2023 17:33:29 - early_stopping - INFO - Validation loss improved from 2633.40649 -> 2633.17407, updating checkpoint.
04/20/2023 17:33:29 - early_stopping - INFO - Validation loss improved from 2633.17407 -> 2632.93579, updating checkpoint.
04/20/2023 17:33:29 - early_stopping - INFO - Validation loss improved from 2632.93579 -> 2632.69849, updating checkpoint.
04/20/2023 17:33:29 - early_stopping - INFO - Validation loss improved from 2632.69849 -> 2632.48438, updating checkpoint.
04/20/2023 17:33:30 - early_stopping - INFO - Validation loss improved from 2632.48438 -> 2632.23120, updating checkpoint.
04/20/2023 17:33:30 - early_stopping - INFO - Validation loss improved from 2632.23120 -> 2631.99561, updating checkpoint.
04/20/2023 17:33:30 - early_stopping - INFO - Validation loss improved from 2631.99561 -> 2631.77222, updating checkpoint.
04/20/2023 17:33:30 - early_stopping - INFO - Validation loss improved from 2631.77222 -> 2631.53735, updating checkpoint.
04/20/2023 17:33:30 - early_stopping - INFO - Validation loss improved from 2631.53735 -> 2631.30347, updating checkpoint.
04/20/2023 17:33:30 - early_stopping - INFO - Validation loss improved from 2631.30347 -> 2631.06299, updating checkpoint.
04/20/2023 17:33:31 - early_stopping - INFO - Validation loss improved from 2631.06299 -> 2630.82837, updating checkpoint.
04/20/2023 17:33:31 - early_stopping - INFO - Validation loss improved from 2630.82837 -> 2630.57275, updating checkpoint.
04/20/2023 17:33:31 - early_stopping - INFO - Validation loss improved from 2630.57275 -> 2630.34351, updating checkpoint.
04/20/2023 17:33:31 - early_stopping - INFO - Validation loss improved from 2630.34351 -> 2630.09912, updating checkpoint.
04/20/2023 17:33:31 - early_stopping - INFO - Validation loss improved from 2630.09912 -> 2629.86206, updating checkpoint.
04/20/2023 17:33:31 - early_stopping - INFO - Validation loss improved from 2629.86206 -> 2629.62622, updating checkpoint.
04/20/2023 17:33:32 - early_stopping - INFO - Validation loss improved from 2629.62622 -> 2629.37988, updating checkpoint.
04/20/2023 17:33:32 - early_stopping - INFO - Validation loss improved from 2629.37988 -> 2629.14795, updating checkpoint.
04/20/2023 17:33:32 - early_stopping - INFO - Validation loss improved from 2629.14795 -> 2628.91260, updating checkpoint.
04/20/2023 17:33:32 - early_stopping - INFO - Validation loss improved from 2628.91260 -> 2628.67651, updating checkpoint.
04/20/2023 17:33:32 - early_stopping - INFO - Validation loss improved from 2628.67651 -> 2628.41553, updating checkpoint.
04/20/2023 17:33:33 - early_stopping - INFO - Validation loss improved from 2628.41553 -> 2628.16113, updating checkpoint.
04/20/2023 17:33:33 - early_stopping - INFO - Validation loss improved from 2628.16113 -> 2627.91919, updating checkpoint.
04/20/2023 17:33:33 - early_stopping - INFO - Validation loss improved from 2627.91919 -> 2627.67041, updating checkpoint.
04/20/2023 17:33:33 - early_stopping - INFO - Validation loss improved from 2627.67041 -> 2627.42065, updating checkpoint.
04/20/2023 17:33:33 - early_stopping - INFO - Validation loss improved from 2627.42065 -> 2627.18140, updating checkpoint.
04/20/2023 17:33:33 - early_stopping - INFO - Validation loss improved from 2627.18140 -> 2626.92505, updating checkpoint.
04/20/2023 17:33:34 - early_stopping - INFO - Validation loss improved from 2626.92505 -> 2626.67651, updating checkpoint.
04/20/2023 17:33:34 - early_stopping - INFO - Validation loss improved from 2626.67651 -> 2626.41650, updating checkpoint.
04/20/2023 17:33:34 - early_stopping - INFO - Validation loss improved from 2626.41650 -> 2626.15869, updating checkpoint.
04/20/2023 17:33:34 - early_stopping - INFO - Validation loss improved from 2626.15869 -> 2625.90601, updating checkpoint.
04/20/2023 17:33:34 - early_stopping - INFO - Validation loss improved from 2625.90601 -> 2625.64795, updating checkpoint.
04/20/2023 17:33:34 - early_stopping - INFO - Validation loss improved from 2625.64795 -> 2625.39111, updating checkpoint.
04/20/2023 17:33:35 - early_stopping - INFO - Validation loss improved from 2625.39111 -> 2625.14038, updating checkpoint.
04/20/2023 17:33:35 - early_stopping - INFO - Validation loss improved from 2625.14038 -> 2624.87793, updating checkpoint.
04/20/2023 17:33:35 - early_stopping - INFO - Validation loss improved from 2624.87793 -> 2624.62500, updating checkpoint.
04/20/2023 17:33:35 - early_stopping - INFO - Validation loss improved from 2624.62500 -> 2624.36182, updating checkpoint.
04/20/2023 17:33:35 - early_stopping - INFO - Validation loss improved from 2624.36182 -> 2624.09497, updating checkpoint.
04/20/2023 17:33:35 - early_stopping - INFO - Validation loss improved from 2624.09497 -> 2623.82837, updating checkpoint.
04/20/2023 17:33:36 - early_stopping - INFO - Validation loss improved from 2623.82837 -> 2623.55347, updating checkpoint.
04/20/2023 17:33:36 - early_stopping - INFO - Validation loss improved from 2623.55347 -> 2623.28613, updating checkpoint.
04/20/2023 17:33:36 - early_stopping - INFO - Validation loss improved from 2623.28613 -> 2623.01025, updating checkpoint.
04/20/2023 17:33:36 - early_stopping - INFO - Validation loss improved from 2623.01025 -> 2622.76367, updating checkpoint.
04/20/2023 17:33:37 - early_stopping - INFO - Validation loss improved from 2622.76367 -> 2622.48853, updating checkpoint.
04/20/2023 17:33:37 - early_stopping - INFO - Validation loss improved from 2622.48853 -> 2622.21704, updating checkpoint.
04/20/2023 17:33:37 - early_stopping - INFO - Validation loss improved from 2622.21704 -> 2621.95459, updating checkpoint.
04/20/2023 17:33:37 - early_stopping - INFO - Validation loss improved from 2621.95459 -> 2621.66650, updating checkpoint.
04/20/2023 17:33:38 - early_stopping - INFO - Validation loss improved from 2621.66650 -> 2621.39526, updating checkpoint.
04/20/2023 17:33:38 - early_stopping - INFO - Validation loss improved from 2621.39526 -> 2621.11206, updating checkpoint.
04/20/2023 17:33:39 - early_stopping - INFO - Validation loss improved from 2621.11206 -> 2620.84424, updating checkpoint.
04/20/2023 17:33:40 - early_stopping - INFO - Validation loss improved from 2620.84424 -> 2620.56567, updating checkpoint.
04/20/2023 17:33:40 - early_stopping - INFO - Validation loss improved from 2620.56567 -> 2620.26880, updating checkpoint.
04/20/2023 17:33:41 - early_stopping - INFO - Validation loss improved from 2620.26880 -> 2619.99780, updating checkpoint.
04/20/2023 17:33:42 - early_stopping - INFO - Validation loss improved from 2619.99780 -> 2619.71143, updating checkpoint.
04/20/2023 17:33:42 - early_stopping - INFO - Validation loss improved from 2619.71143 -> 2619.42456, updating checkpoint.
04/20/2023 17:33:43 - early_stopping - INFO - Validation loss improved from 2619.42456 -> 2619.15894, updating checkpoint.
04/20/2023 17:33:43 - early_stopping - INFO - Validation loss improved from 2619.15894 -> 2618.87891, updating checkpoint.
04/20/2023 17:33:43 - early_stopping - INFO - Validation loss improved from 2618.87891 -> 2618.57788, updating checkpoint.
04/20/2023 17:33:44 - early_stopping - INFO - Validation loss improved from 2618.57788 -> 2618.27026, updating checkpoint.
04/20/2023 17:33:44 - early_stopping - INFO - Validation loss improved from 2618.27026 -> 2617.98169, updating checkpoint.
04/20/2023 17:33:44 - early_stopping - INFO - Validation loss improved from 2617.98169 -> 2617.69458, updating checkpoint.
04/20/2023 17:33:45 - early_stopping - INFO - Validation loss improved from 2617.69458 -> 2617.41455, updating checkpoint.
04/20/2023 17:33:45 - early_stopping - INFO - Validation loss improved from 2617.41455 -> 2617.11279, updating checkpoint.
04/20/2023 17:33:46 - early_stopping - INFO - Validation loss improved from 2617.11279 -> 2616.82324, updating checkpoint.
04/20/2023 17:33:46 - early_stopping - INFO - Validation loss improved from 2616.82324 -> 2616.53296, updating checkpoint.
04/20/2023 17:33:47 - early_stopping - INFO - Validation loss improved from 2616.53296 -> 2616.24951, updating checkpoint.
04/20/2023 17:33:47 - early_stopping - INFO - Validation loss improved from 2616.24951 -> 2615.96045, updating checkpoint.
04/20/2023 17:33:48 - early_stopping - INFO - Validation loss improved from 2615.96045 -> 2615.64111, updating checkpoint.
04/20/2023 17:33:48 - early_stopping - INFO - Validation loss improved from 2615.64111 -> 2615.34326, updating checkpoint.
04/20/2023 17:33:48 - early_stopping - INFO - Validation loss improved from 2615.34326 -> 2615.03540, updating checkpoint.
04/20/2023 17:33:48 - early_stopping - INFO - Validation loss improved from 2615.03540 -> 2614.71997, updating checkpoint.
04/20/2023 17:33:48 - early_stopping - INFO - Validation loss improved from 2614.71997 -> 2614.41333, updating checkpoint.
04/20/2023 17:33:48 - early_stopping - INFO - Validation loss improved from 2614.41333 -> 2614.10889, updating checkpoint.
04/20/2023 17:33:49 - early_stopping - INFO - Validation loss improved from 2614.10889 -> 2613.82349, updating checkpoint.
04/20/2023 17:33:49 - early_stopping - INFO - Validation loss improved from 2613.82349 -> 2613.50317, updating checkpoint.
